rank,name,country_name,country_id,active,value
416,Michael Llodra,France,FRA,false,0.494
417,Nicolas Jarry,Chile,CHI,true,0.494
418,Philipp Kohlschreiber,Germany,GER,true,0.494
419,Nicolas Mahut,France,FRA,true,0.493
420,Magnus Larsson,Sweden,SWE,false,0.491
421,Daniil Medvedev,Russian Federation,RUS,true,0.488
422,Peter Wessels,Netherlands,NED,false,0.487
423,Alexander Waske,Germany,GER,false,0.486
424,Jan Lennard Struff,Germany,GER,true,0.484
425,Tommy Haas,Germany,GER,false,0.483
426,Stefan Edberg,Sweden,SWE,false,0.481
427,Daniel Brands,Germany,GER,false,0.480
428,Jack Sock,United States,USA,true,0.480
429,Andy Murray,United Kingdom,GBR,true,0.479
430,Stan Wawrinka,Switzerland,SUI,true,0.478
431,Marat Safin,Russian Federation,RUS,false,0.477
432,Taylor Harry Fritz,United States,USA,true,0.477
433,Martin Verkerk,Netherlands,NED,false,0.476
434,Leonardo Mayer,Argentina,ARG,true,0.475
435,Alexander Zverev,Germany,GER,true,0.473
436,Marc Rosset,Switzerland,SUI,false,0.473
437,Karen Khachanov,Russian Federation,RUS,true,0.472
438,Gustavo Kuerten,Brazil,BRA,false,0.471
439,Fernando Gonzalez,Chile,CHI,false,0.471
440,Marius Copil,Romania,ROU,true,0.471
441,Mardy Fish,United States,USA,false,0.470
442,Jonathan Stark,United States,USA,false,0.469
443,Denis Shapovalov,Canada,CAN,true,0.469
444,Ivan Lendl,United States,USA,false,0.468
445,Feliciano Lopez,Spain,ESP,true,0.467
446,Grigor Dimitrov,Bulgaria,BUL,true,0.466
447,Richard Gasquet,France,FRA,true,0.461
448,Todd Martin,United States,USA,false,0.461
449,Alex Radulescu,Germany,GER,false,0.460
450,Nicolas Almagro,Spain,ESP,false,0.460
451,Vasek Pospisil,Canada,CAN,true,0.460
452,Dominic Thiem,Austria,AUT,true,0.454
453,Andre Agassi,United States,USA,false,0.453
454,Steve Johnson,United States,USA,true,0.453
455,Gilles Muller,Luxembourg,LUX,false,0.452
456,Max Mirnyi,Belarus,BLR,false,0.449
457,Marin Cilic,Croatia,CRO,true,0.446
458,Guy Forget,France,FRA,false,0.445
459,Robin Soderling,Sweden,SWE,false,0.442
460,Wesley Moodie,South Africa,RSA,false,0.440
461,Jim Courier,United States,USA,false,0.436
462,Michael Stich,Germany,GER,false,0.434
463,Tomas Berdych,Czech Republic,CZE,false,0.430
464,Patrick Rafter,Australia,AUS,false,0.429
465,Samuel Groth,Australia,AUS,false,0.428
466,Mario Ancic,Croatia,CRO,false,0.427
467,Chris Guccione,Australia,AUS,false,0.423
468,Goran Ivanisevic,Croatia,CRO,false,0.422
469,Ivan Ljubicic,Croatia,CRO,false,0.422
470,Rafael Nadal,Spain,ESP,true,0.421
471,Boris Becker,Germany,GER,false,0.414
472,Mark Philippoussis,Australia,AUS,false,0.411
473,Juan Martin Del Potro,Argentina,ARG,true,0.409
474,Matteo Berrettini,Italy,ITA,true,0.409
475,Novak Djokovic,Serbia,SRB,true,0.409
476,Stefanos Tsitsipas,Greece,GRE,true,0.405
477,Sam Querrey,United States,USA,true,0.405
478,Greg Rusedski,United Kingdom,GBR,false,0.399
479,Kevin Anderson,South Africa,RSA,true,0.391
480,Jo Wilfried Tsonga,France,FRA,true,0.389
481,Richard Krajicek,Netherlands,NED,false,0.373
482,Wayne Arthurs,Australia,AUS,false,0.363
483,Nick Kyrgios,Australia,AUS,true,0.351
484,Pete Sampras,United States,USA,false,0.351
485,Joachim Johansson,Sweden,SWE,false,0.345
486,Roger Federer,Switzerland,SUI,true,0.342
487,Andy Roddick,United States,USA,false,0.305
488,Milos Raonic,Canada,CAN,true,0.290
489,Reilly Opelka,United States,USA,true,0.287
490,John Isner,United States,USA,true,0.281
491,Ivo Karlovic,Croatia,CRO,true,0.275
