rank,name,country_name,country_id,active,value
363,Marc Kevin Goellner,Germany,GER,false,38.55%
364,Thierry Ascione,France,FRA,false,38.52%
365,Yuichi Sugita,Japan,JPN,true,38.49%
366,Aljaz Bedene,Slovenia,SLO,true,38.48%
367,Mischa Zverev,Germany,GER,true,38.47%
368,Donald Young,United States,USA,true,38.45%
369,Karim Alami,Morocco,MAR,false,38.44%
370,Gregory Carraz,France,FRA,false,38.41%
371,Luis Horna,Peru,PER,false,38.41%
372,Marcos Daniel,Brazil,BRA,false,38.40%
373,Simon Greul,Germany,GER,false,38.38%
374,Tomas Nydahl,Sweden,SWE,false,38.36%
375,Jeremy Bates,United Kingdom,GBR,false,38.35%
376,Guy Forget,France,FRA,false,38.35%
377,Nicolas Mahut,France,FRA,true,38.34%
378,Martin Sinner,Germany,GER,false,38.30%
379,Jordan Thompson,Australia,AUS,true,38.29%
380,Noam Okun,Israel,ISR,false,38.27%
381,Nicklas Kulti,Sweden,SWE,false,38.24%
382,Felix Auger Aliassime,Canada,CAN,true,38.24%
383,Jan Lennard Struff,Germany,GER,true,38.23%
384,Nicolas Jarry,Chile,CHI,true,38.22%
384,Sergio Roitman,Argentina,ARG,false,38.22%
386,Denis Gremelmayr,Germany,GER,false,38.19%
387,Chris Woodruff,United States,USA,false,38.16%
388,Grega Zemlja,Slovenia,SLO,false,38.16%
389,Grigor Dimitrov,Bulgaria,BUL,true,38.13%
390,Simon Youl,Australia,AUS,false,38.13%
391,Denis Istomin,Uzbekistan,UZB,true,38.12%
392,Teymuraz Gabashvili,Russian Federation,RUS,false,38.12%
393,Jan Vacek,Czech Republic,CZE,false,38.08%
394,Frederik Fetterlein,Denmark,DEN,false,38.07%
395,Peter Wessels,Netherlands,NED,false,38.06%
396,Joao Sousa,Portugal,POR,true,38.02%
397,Steve Bryan,United States,USA,false,37.99%
398,Tim Smyczek,United States,USA,true,37.98%
399,Hendrik Dreekmann,Germany,GER,false,37.98%
400,Stefanos Tsitsipas,Greece,GRE,true,37.96%
401,Michael Tebbutt,Australia,AUS,false,37.96%
402,Gaston Etlis,Argentina,ARG,false,37.94%
403,Luis Herrera,Mexico,MEX,false,37.91%
404,Michael Kohlmann,Germany,GER,false,37.88%
405,Brian Vahaly,United States,USA,false,37.88%
406,Cecil Mamiit,Philippines,PHI,false,37.86%
407,Scott Draper,Australia,AUS,false,37.85%
408,Philipp Petzschner,Germany,GER,false,37.82%
409,Raemon Sluiter,Netherlands,NED,false,37.80%
410,Victor Hanescu,Romania,ROU,false,37.79%
411,Juan Balcells,Spain,ESP,false,37.77%
412,Jan Kroslak,Slovakia,SVK,false,37.73%
413,Jiri Vesely,Czech Republic,CZE,true,37.73%
414,Thiemo De Bakker,Netherlands,NED,true,37.71%
415,Paolo Lorenzi,Italy,ITA,true,37.71%
416,Christo Van Rensburg,South Africa,RSA,false,37.68%
417,Andrei Stoliarov,Russian Federation,RUS,false,37.61%
418,Kevin Curren,United States,USA,false,37.61%
419,Justin Gimelstob,United States,USA,false,37.59%
420,Marc Rosset,Switzerland,SUI,false,37.58%
421,Thanasi Kokkinakis,Australia,AUS,true,37.57%
422,Yen Hsun Lu,"Taiwan, Province of China",TPE,true,37.56%
423,Kevin Kim,United States,USA,false,37.54%
424,Sam Querrey,United States,USA,true,37.48%
425,Benjamin Becker,Germany,GER,false,37.47%
426,Karol Beck,Slovakia,SVK,false,37.47%
427,Frances Tiafoe,United States,USA,true,37.45%
428,Nicolas Devilder,France,FRA,false,37.42%
429,Chris Wilkinson,United Kingdom,GBR,false,37.41%
430,Ernests Gulbis,Latvia,LAT,true,37.40%
431,Marco Chiudinelli,Switzerland,SUI,false,37.35%
432,Oscar Hernandez,Spain,ESP,false,37.34%
433,Younes El Aynaoui,Morocco,MAR,false,37.33%
434,Alex Radulescu,Germany,GER,false,37.33%
435,Jeremy Chardy,France,FRA,true,37.32%
436,Rodolphe Gilbert,France,FRA,false,37.30%
437,Hubert Hurkacz,Poland,POL,true,37.23%
438,Michal Przysiezny,Poland,POL,false,37.17%
439,Michael Berrer,Germany,GER,false,37.14%
440,Jonathan Stark,United States,USA,false,37.13%
441,Horacio Zeballos,Argentina,ARG,false,37.13%
442,Ricardas Berankis,Lithuania,LTU,true,37.11%
443,Guido Pella,Argentina,ARG,true,37.05%
444,Radu Albot,"Moldova, Republic of",MDA,true,37.02%
445,Ivan Ljubicic,Croatia,CRO,false,37.01%
446,Andreas Haider Maurer,Austria,AUT,false,37.00%
447,Kenneth Carlsen,Denmark,DEN,false,36.99%
448,Pierre Hugues Herbert,France,FRA,true,36.94%
449,Christian Saceanu,Germany,GER,false,36.93%
450,Malek Jaziri,Tunisia,TUN,true,36.92%
451,Danai Udomchoke,Thailand,THA,false,36.92%
452,Simone Bolelli,Italy,ITA,false,36.88%
453,Daniel Nestor,Canada,CAN,false,36.87%
454,Daniel Vacek,Czech Republic,CZE,false,36.86%
455,Edouard Roger Vasselin,France,FRA,false,36.86%
456,Denis Shapovalov,Canada,CAN,true,36.85%
457,Greg Rusedski,United Kingdom,GBR,false,36.84%
458,Andrey Kuznetsov,Russian Federation,RUS,false,36.81%
459,Cyril Saulnier,France,FRA,false,36.81%
460,Dustin Brown,Germany,GER,true,36.78%
461,Lukas Rosol,Czech Republic,CZE,true,36.77%
462,Steve Johnson,United States,USA,true,36.75%
463,Hyung Taik Lee,"Korea, Republic of",KOR,false,36.74%
464,Daniel Gimeno Traver,Spain,ESP,false,36.68%
465,Leonardo Mayer,Argentina,ARG,true,36.67%
466,Thomas Fabbiano,Italy,ITA,true,36.64%
467,Ivan Navarro,Spain,ESP,false,36.62%
468,Jeff Morrison,United States,USA,false,36.58%
469,Eduardo Schwank,Argentina,ARG,false,36.53%
470,Lukas Lacko,Slovakia,SVK,false,36.53%
471,Ruben Bemelmans,Belgium,BEL,true,36.52%
472,Leander Paes,India,IND,false,36.50%
473,Olivier Patience,France,FRA,false,36.50%
474,Andrei Olhovskiy,Russian Federation,RUS,false,36.50%
475,Tatsuma Ito,Japan,JPN,true,36.49%
476,Mark Philippoussis,Australia,AUS,false,36.44%
477,Jim Grabb,United States,USA,false,36.42%
478,Jerzy Janowicz,Poland,POL,false,36.42%
479,Andrew Ilie,Australia,AUS,false,36.40%
480,Jan Siemerink,Netherlands,NED,false,36.39%
481,Michael Llodra,France,FRA,false,36.37%
482,Vasek Pospisil,Canada,CAN,true,36.31%
483,Patrick Baur,Germany,GER,false,36.26%
484,Bernard Tomic,Australia,AUS,true,36.15%
485,Go Soeda,Japan,JPN,true,36.14%
486,Alexander Mronz,Germany,GER,false,36.12%
487,Peter Luczak,Australia,AUS,false,36.10%
488,Chuck Adams,United States,USA,false,36.08%
489,Max Mirnyi,Belarus,BLR,false,36.03%
490,Sergiy Stakhovsky,Ukraine,UKR,true,36.02%
491,Kevin Anderson,South Africa,RSA,true,36.01%
492,Vladimir Voltchkov,Belarus,BLR,false,36.01%
493,Jaume Munar,Spain,ESP,true,35.98%
494,Jan Hajek,Czech Republic,CZE,false,35.91%
495,Jacco Eltingh,Netherlands,NED,false,35.90%
496,Milos Raonic,Canada,CAN,true,35.88%
497,Dennis Van Scheppingen,Netherlands,NED,false,35.83%
498,Joao Souza,Brazil,BRA,false,35.77%
499,Karsten Braasch,Germany,GER,false,35.69%
500,Rogerio Dutra Silva,Brazil,BRA,false,35.67%
501,Maximilian Marterer,Germany,GER,false,35.67%
502,Taylor Harry Fritz,United States,USA,true,35.67%
503,Martin Damm,Czech Republic,CZE,false,35.65%
504,Marco Cecchinato,Italy,ITA,true,35.63%
505,Rajeev Ram,United States,USA,false,35.60%
506,James Duckworth,Australia,AUS,true,35.58%
