FRA,Cedric Pioline,0.592,N
AUS,Chris Guccione,0.305,N
USA,Chris Woodruff,0.636,N
SWE,Christian Bergstrom,0.655,N
NOR,Christian Ruud,0.672,N
RSA,Christo Van Rensburg,0.619,N
BEL,Christophe Rochus,0.617,N
USA,Chuck Adams,0.537,N
ITA,Cristiano Caratti,0.586,N
FRA,Cyril Saulnier,0.461,N
BIH,Damir Dzumhur,0.631,A
GER,Daniel Brands,0.39,A
ESP,Daniel Gimeno Traver,0.526,A
CAN,Daniel Nestor,0.456,N
CZE,Daniel Vacek,0.483,N
ITA,Daniele Bracciali,0.435,N
RUS,Daniil Medvedev,0.6,A
ESP,David Ferrer,0.721,A
BEL,David Goffin,0.665,A
ARG,David Nalbandian,0.681,N
GER,David Prinosil,0.551,N
CZE,David Rikl,0.56,N
ESP,David Sanchez,0.662,N
USA,David Wheaton,0.576,N
ITA,Davide Sanguinetti,0.581,N
GER,Denis Gremelmayr,0.51,N
UZB,Denis Istomin,0.493,A
USA,Denis Kudla,0.476,A
NED,Dennis Van Scheppingen,0.525,N
USA,Derrick Rostagno,0.604,N
BEL,Dick Norman,0.382,N
ITA,Diego Nargiso,0.528,N
ARG,Diego Sebastian Schwartzman,0.722,A
RUS,Dmitry Tursunov,0.507,N
AUT,Dominic Thiem,0.607,A
SVK,Dominik Hrbaty,0.623,N
USA,Donald Young,0.54,A
ISR,Dudi Sela,0.59,A
SRB,Dusan Lajovic,0.503,A
GER,Dustin Brown,0.434,A
FRA,Edouard Roger Vasselin,0.531,N
ARG,Eduardo Schwank,0.502,N
ESP,Emilio Benfele Alvarez,0.528,N
ESP,Emilio Sanchez,0.599,N
LAT,Ernests Gulbis,0.511,A
RUS,Evgeny Donskoy,0.441,A
KAZ,Evgeny Korolev,0.523,N
ITA,Fabio Fognini,0.637,A
FRA,Fabrice Santoro,0.648,N
ARG,Federico Delbonis,0.534,A
ESP,Feliciano Lopez,0.437,A
ESP,Felix Mantilla,0.658,N
CHI,Fernando Gonzalez,0.553,N
BRA,Fernando Meligeni,0.626,N
ESP,Fernando Verdasco,0.592,A
ESP,Fernando Vicente,0.626,N
BEL,Filip Dewulf,0.539,N
ITA,Filippo Volandri,0.69,N
ITA,Flavio Cipolla,0.636,N
BRA,Flavio Saretta,0.656,N
FRA,Florent Serra,0.532,N
GER,Florian Mayer,0.565,A
USA,Francis Tiafoe,0.481,A
ESP,Francisco Clavet,0.684,N
ESP,Francisco Roig,0.761,N
ARG,Franco Davin,0.718,N
ARG,Franco Squillari,0.672,N
CAN,Frank Dancevic,0.455,N
POR,Frederico Gil,0.548,N
ARG,Gabriel Markus,0.592,N
FRA,Gael Monfils,0.603,A
ESP,Galo Blanco,0.562,N
ARG,Gaston Gaudio,0.712,N
SUI,George Bastl,0.573,N
ITA,Gianluca Pozzi,0.58,N
AUT,Gilbert Schaller,0.727,N
LUX,Gilles Muller,0.386,A
FRA,Gilles Simon,0.631,A
JPN,Go Soeda,0.482,A
CRO,Goran Ivanisevic,0.484,N
CRO,Goran Prpic,0.709,N
RSA,Grant Stafford,0.653,N
GBR,Greg Rusedski,0.461,N
FRA,Gregory Carraz,0.422,N
BUL,Grigor Dimitrov,0.562,A
ARG,Guido Pella,0.549,A
FRA,Guillaume Raoux,0.509,N
ARG,Guillermo Canas,0.66,N
ARG,Guillermo Coria,0.773,N
ESP,Guillermo Garcia Lopez,0.59,A
ARG,Guillermo Perez Roldan,0.698,N
BRA,Gustavo Kuerten,0.595,N
FRA,Guy Forget,0.533,N
ISR,Harel Levy,0.521,N
GER,Hendrik Dreekmann,0.565,N
FRA,Henri Leconte,0.589,N
SWE,Henrik Holm,0.557,N
ARG,Hernan Gumy,0.627,N
MAR,Hicham Arazi,0.601,N
ARG,Horacio De La Pena,0.671,N
ARG,Horacio Zeballos,0.406,A
AUT,Horst Skoff,0.65,N
KOR,Hyeon Chung,0.644,A
KOR,Hyung Taik Lee,0.58,N
RUS,Igor Andreev,0.541,N
RUS,Igor Kunitsyn,0.556,N
NED,Igor Sijsling,0.467,N
UKR,Illya Marchenko,0.53,N
GEO,Irakli Labadze,0.508,N
CRO,Ivan Dodig,0.509,N
USA,Ivan Lendl,0.666,N
CRO,Ivan Ljubicic,0.492,N
ESP,Ivan Navarro,0.395,N
SUI,Ivo Heuberger,0.473,N
CRO,Ivo Karlovic,0.287,A
CZE,Ivo Minar,0.465,N
NED,Jacco Eltingh,0.454,N
USA,Jack Sock,0.499,A
ESP,Jacobo Diaz,0.58,N
BRA,Jaime Oncins,0.721,N
PER,Jaime Yzaga,0.651,N
SUI,Jakob Hlasek,0.542,N
USA,James Blake,0.598,N
AUS,Jamie Morgan,0.544,N
SWE,Jan Apell,0.532,N
CZE,Jan Hajek,0.532,N
CZE,Jan Hernych,0.555,N
SVK,Jan Kroslak,0.578,N
GER,Jan Lennard Struff,0.487,A
USA,Jan Michael Gambill,0.515,N
NED,Jan Siemerink,0.49,N
CZE,Jan Vacek,0.491,N
SRB,Janko Tipsarevic,0.538,N
USA,Jared Donaldson,0.521,A
USA,Jared Palmer,0.531,N
FIN,Jarkko Nieminen,0.595,N
AUS,Jason Stoltenberg,0.625,N
ARG,Javier Frana,0.547,N
ESP,Javier Sanchez,0.623,N
FRA,Jean Philippe Fleurian,0.552,N
MON,Jean Rene Lisnard,0.631,N
USA,Jeff Morrison,0.496,N
USA,Jeff Tarango,0.606,N
GER,Jens Knippschild,0.515,N
GBR,Jeremy Bates,0.532,N
FRA,Jeremy Chardy,0.51,A
FRA,Jerome Golmard,0.536,N
POL,Jerzy Janowicz,0.459,A
CAN,Jesse Levine,0.503,N
USA,Jim Courier,0.616,N
USA,Jim Grabb,0.518,N
CZE,Jiri Novak,0.648,N
CZE,Jiri Vanek,0.517,N
CZE,Jiri Vesely,0.504,A
FRA,Jo Wilfried Tsonga,0.515,A
SWE,Joachim Johansson,0.396,N
POR,Joao Sousa,0.568,A
GER,Joern Renzenbrink,0.469,N
BEL,Johan Van Herck,0.496,N
USA,John Isner,0.345,A
USA,John McEnroe,0.648,N
AUS,John Millman,0.552,A
NED,John Van Lottum,0.501,N
SWE,Jonas Bjorkman,0.657,N
SWE,Jonas Svensson,0.644,N
USA,Jonathan Stark,0.493,N
ESP,Jordi Arrese,0.723,N
