ESP,Guillermo Garcia Lopez,0.622,A
ARG,Guillermo Perez Roldan,0.68,N
BRA,Gustavo Kuerten,0.47,N
FRA,Guy Forget,0.445,N
ISR,Harel Levy,0.674,N
GER,Hendrik Dreekmann,0.629,N
FRA,Henri Leconte,0.593,N
SWE,Henrik Holm,0.583,N
ARG,Hernan Gumy,0.632,N
MAR,Hicham Arazi,0.629,N
ARG,Horacio De La Pena,0.733,N
ARG,Horacio Zeballos,0.548,A
AUT,Horst Skoff,0.681,N
KOR,Hyeon Chung,0.538,A
KOR,Hyung Taik Lee,0.58,N
RUS,Igor Andreev,0.507,N
RUS,Igor Kunitsyn,0.691,N
NED,Igor Sijsling,0.519,N
UKR,Illya Marchenko,0.625,N
GEO,Irakli Labadze,0.722,N
CRO,Ivan Dodig,0.558,N
USA,Ivan Lendl,0.468,N
CRO,Ivan Ljubicic,0.422,N
ESP,Ivan Navarro,0.524,N
SUI,Ivo Heuberger,0.673,N
CRO,Ivo Karlovic,0.277,A
CZE,Ivo Minar,0.588,N
NED,Jacco Eltingh,0.532,N
USA,Jack Sock,0.479,A
SP,Jacobo Diaz,0.74,N
BRA,Jaime Oncins,0.712,N
PER,Jaime Yzaga,0.666,N
SUI,Jakob Hlasek,0.523,N
USA,James Blake,0.525,N
AUS,Jamie Morgan,0.501,N
SWE,Jan Apell,0.561,N
ZE,Jan Hajek,0.756,N
CZE,Jan Hernych,0.696,N
SVK,Jan Kroslak,0.698,N
GER,Jan Lennard Struff,0.522,A
USA,Jan Michael Gambill,0.517,N
NED,Jan Siemerink,0.525,N
CZE,Jan Vacek,0.632,N
SRB,Janko Tipsarevic,0.506,N
USA,Jared Donaldson,0.517,A
USA,Jared Palmer,0.61,N
FIN,Jarkko Nieminen,0.599,N
AUS,Jason Stoltenberg,0.572,N
ARG,Javier Frana,0.528,N
ESP,Javier Sanchez,0.629,N
FRA,Jean Philippe Fleurian,0.67,N
ON,Jean Rene Lisnard,0.786,N
USA,Jeff Morrison,0.559,N
USA,Jeff Tarango,0.648,N
GER,Jens Knippschild,0.616,N
GBR,Jeremy Bates,0.638,N
FRA,Jeremy Chardy,0.515,A
FRA,Jerome Golmard,0.544,N
POL,Jerzy Janowicz,0.498,A
CAN,Jesse Levine,0.722,N
USA,Jim Courier,0.436,N
USA,Jim Grabb,0.532,N
CZE,Jiri Novak,0.586,N
CZE,Jiri Vanek,0.709,N
CZE,Jiri Vesely,0.533,A
FRA,Jo Wilfried Tsonga,0.389,A
SWE,Joachim Johansson,0.345,N
POR,Joao Sousa,0.588,A
GER,Joern Renzenbrink,0.574,N
BEL,Johan Van Herck,0.599,N
USA,John Isner,0.286,A
USA,John McEnroe,0.494,N
AUS,John Millman,0.57,A
NED,John Van Lottum,0.684,N
SWE,Jonas Bjorkman,0.608,N
SWE,Jonas Svensson,0.676,N
USA,Jonathan Stark,0.469,N
ESP,Jordi Arrese,0.719,N
ESP,Jordi Burillo,0.644,N
ARG,Jose Acasuso,0.567,N
ESP,Juan Albert Viloca Puig,0.696,N
RC,Juan Antonio Marin,0.778,N
ESP,Juan Balcells,0.563,N
ESP,Juan Carlos Ferrero,0.543,N
ARG,Juan Ignacio Chela,0.63,N
ARG,Juan Martin Del Potro,0.413,A
ARG,Juan Monaco,0.595,N
ESP,Julian Alonso,0.68,N
FRA,Julien Benneteau,0.57,A
FRA,Julien Boutter,0.594,N
AUT,Jurgen Melzer,0.564,N
USA,Justin Gimelstob,0.574,N
CZE,Karel Novacek,0.548,N
RUS,Karen Khachanov,0.488,A
MAR,Karim Alami,0.626,N
SVK,Karol Beck,0.64,N
SVK,Karol Kucera,0.616,N
GER,Karsten Braasch,0.612,N
JPN,Kei Nishikori,0.51,A
DEN,Kenneth Carlsen,0.516,N
FRA,Kenny De Schepper,0.558,A
RSA,Kevin Anderson,0.392,A
USA,Kevin Kim,0.62,N
DEN,Kristian Pless,0.573,N
BEL,Kristof Vliegen,0.58,N
GBR,Kyle Edmund,0.51,A
GER,Lars Burgsmuller,0.659,N
SWE,Lars Jonsson,0.725,N
ITA,Laurence Tieleman,0.57,N
IND,Leander Paes,0.58,N
ARG,Leonardo Mayer,0.478,A
FRA,Lionel Roux,0.621,N
AUS,Lleyton Hewitt,0.518,N
FRA,Lucas Pouille,0.527,A
MEX,Luis Herrera,0.684,N
PER,Luis Horna,0.535,N
BRA,Luiz Mattar,0.625,N
SVK,Lukas Lacko,0.555,A
CZE,Lukas Rosol,0.573,A
POL,Lukasz Kubot,0.615,N
SWE,Magnus Gustafsson,0.593,N
SWE,Magnus Larsson,0.491,N
SWE,Magnus Norman,0.582,N
TUN,Malek Jaziri,0.629,A
USA,Malivai Washington,0.509,N
RUS,Marat Safin,0.476,N
FRA,Marc Gicquel,0.567,N
GER,Marc Kevin Goellner,0.52,N
SUI,Marc Rosset,0.473,N
ESP,Marcel Granollers,0.607,A
URU,Marcelo Filippini,0.707,N
CHI,Marcelo Rios,0.524,N
SUI,Marco Chiudinelli,0.578,A
SP,Marcos Aurelio Gorriz,0.742,N
CYP,Marcos Baghdatis,0.507,A
RSA,Marcos Ondruska,0.727,N
USA,Mardy Fish,0.47,N
ARG,Mariano Puerta,0.568,N
ARG,Mariano Zabaleta,0.603,N
CRO,Marin Cilic,0.445,A
AUS,Marinko Matosevic,0.653,N
CRO,Mario Ancic,0.427,N
ROU,Marius Copil,0.459,A
GBR,Mark Petchey,0.654,N
AUS,Mark Philippoussis,0.412,N
AUS,Mark Woodforde,0.606,N
AUT,Markus Hipfl,0.679,N
GER,Markus Zoecke,0.517,N
TUR,Marsel Ilhan,0.598,A
CZE,Martin Damm,0.522,N
SVK,Martin Klizan,0.647,A
GER,Martin Sinner,0.549,N
ARG,Martin Vassallo Arguello,0.71,N
NED,Martin Verkerk,0.472,N
SWE,Mats Wilander,0.686,N
AUS,Matthew Ebden,0.624,A
COL,Mauricio Hadad,0.713,N
BLR,Max Mirnyi,0.449,N
RG,Maximo Gonzalez,0.812,N
GER,Michael Berrer,0.574,N
USA,Michael Chang,0.532,N
USA,Michael Joyce,0.651,N
FRA,Michael Llodra,0.494,N
USA,Michael Russell,0.646,N
GER,Michael Stich,0.434,N
AUS,Michael Tebbutt,0.538,N
POL,Michal Przysiezny,0.614,N
CZE,Michal Tabara,0.707,N
SUI,Michel Kratochvil,0.651,N
SWE,Mikael Tillstrom,0.636,N
KAZ,Mikhail Kukushkin,0.672,A
RUS,Mikhail Youzhny,0.574,A
CAN,Milos Raonic,0.298,A
GER,Mischa Zverev,0.602,A
RSA,Neville Godwin,0.633,N
AUS,Nick Kyrgios,0.358,A
SWE,Nicklas Kulti,0.586,N
ESP,Nicolas Almagro,0.46,A
FRA,Nicolas Escude,0.556,N
GER,Nicolas Kiefer,0.554,N
ECU,Nicolas Lapentti,0.605,N
FRA,Nicolas Mahut,0.494,A
CHI,Nicolas Massu,0.639,N
VEN,Nicolas Pereira,0.557,N
RUS,Nikolay Davydenko,0.568,N
RUS,Nikoloz Basilashvili,0.651,A
SRB,Novak Djokovic,0.418,A
POR,Nuno Marques,0.717,N
GER,Oliver Gross,0.724,N
FRA,Olivier Delaitre,0.632,N
FRA,Olivier Patience,0.648,N
BEL,Olivier Rochus,0.64,N
ITA,Omar Camporese,0.606,N
ESP,Oscar Hernandez,0.704,N
ESP,Pablo Andujar,0.697,A
ESP,Pablo Carreno Busta,0.573,A
URU,Pablo Cuevas,0.537,A
ITA,Paolo Lorenzi,0.62,A
THA,Paradorn Srichaphan,0.506,N
GER,Patrick Baur,0.639,N
USA,Patrick McEnroe,0.679,N
AUS,Patrick Rafter,0.429,N
GER,Patrik Kuhnen,0.595,N
CHI,Paul Capdeville,0.64,N
USA,Paul Goldstein,0.727,N
NED,Paul Haarhuis,0.592,N
FRA,Paul Henri Mathieu,0.546,A
USA,Pete Sampras,0.351,N
GER,Peter Gojowczyk,0.525,A
AUS,Peter Luczak,0.627,N
NED,Peter Wessels,0.487,N
CZE,Petr Korda,0.58,N
GER,Philipp Kohlschreiber,0.493,A
GER,Philipp Petzschner,0.521,N
FRA,Pierre Hugues Herbert,0.476,A
ITA,Potito Starace,0.613,N
CZE,Radek Stepanek,0.502,N
MDA,Radu Albot,0.666,A
NED,Raemon Sluiter,0.541,N
ESP,Rafael Nadal,0.43,A
GER,Rainer Schuettler,0.605,N
USA,Rajeev Ram,0.527,N
PAR,Ramon Delgado,0.606,N
ITA,Renzo Furlan,0.645,N
LTU,Ricardas Berankis,0.57,A
BRA,Ricardo Mello,0.668,N
AUS,Richard Fromberg,0.559,N
FRA,Richard Gasquet,0.456,A
NED,Richard Krajicek,0.373,N
USA,Richey Reneberg,0.571,N
USA,Robby Ginepri,0.533,N
USA,Robert Kendrick,0.559,N
ESP,Roberto Bautista Agut,0.534,A
